flow,src,src_port,dst,dst_port,protocol,timestamp,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,std_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,std_active_s,max_active_s,min_active_s,mean_idle_s,std_idle_s,max_idle_s,min_idle_s,label
52.201.168.222:443<->192.168.100.7:55912,52.201.168.222,443,192.168.100.7,55912,TCP,0,0.000919296,2,1,2932,54,66,2866,1466.0,1979.8989873223327,54,54,54.0,0.0,3248137.7053745477,3263.366750208856,0.0004596710205078,0.0006224246588088,0.0008997917175292,1.9550323486328125e-05,0.00089976,0.00089976,0.0,0.00089976,0.00089976,0.0,0.0,0.0,0.00089976,0.0,0,0,0,0,0,0,2175.57783347257,1087.788916736285,54,2866,995.3333333333334,1620.0559661114592,2624581.333333333,0,0,1,0,2,0,0,0,54.2962962962963,995.3333333333334,1400.0,0.0,1954.6666666666667,1.5,0.75,0,1.0,0.5,2.0,2932.0,1.0,54.0,110,0,2,52,9.19342041015625e-13,0.0,9.19342041015625e-13,0.0,0,0,0,0,None
192.168.100.7:55912<->52.201.168.222:443,192.168.100.7,55912,52.201.168.222,443,TCP,0,0.293732096,4,1,810,74,66,604,202.5,267.69323238861807,74,74,74.0,0.0,3009.5451332632038,17.02231410216744,0.0734330415725708,0.1165798979543202,0.2454814910888672,7.82012939453125e-05,0.293732306,0.0979107686666666,0.1296554878358711,0.24555964,0.002629315,0.0,0.0,0.0,0.24555964,0.0,1,0,0,0,0,0,13.617851281733952,3.404462820433488,66,604,176.8,238.8455567935062,57047.2,1,2,0,1,4,0,0,0,10.945945945945946,176.8,134.5,0.0,462.8571428571428,1.75,0.7954545454545454,0,1.0,0.4545454545454545,4.0,810.0,1.0,74.0,64240,26847,4,52,2.9373216629028316e-10,0.0,2.9373216629028316e-10,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:55912,52.201.168.222,443,192.168.100.7,55912,TCP,0,2.0224e-05,1,1,3157,54,3157,3157,3157.0,0.0,54,54,54.0,0.0,158771756.3291139,98892.40506329114,2.026557922363281e-05,0.0,2.026557922363281e-05,2.026557922363281e-05,0.0,0.0,0.0,1636492315.0556128,1636492315.0556128,0.0,0.0,0.0,1636492315.0556128,0.0,1,0,0,0,0,0,49446.20253164557,49446.20253164557,54,3157,1605.5,2194.152342021857,4814304.5,0,0,1,1,1,0,0,0,58.46296296296296,1605.5,3091.0,0.0,3157.0,1.0,0.6666666666666666,0,1.0,0.6666666666666666,1.0,3157.0,1.0,54.0,110,0,1,3143,2.026557922363281e-14,0.0,2.026557922363281e-14,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:443,52.201.168.222,443,192.168.100.7,55912,TCP,0,1.0,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636492315.079104,1636492315.079104,0.0,0.0,0.0,1636492315.079104,0.0,0,0,0,0,0,0,1.0,1.0,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,66.0,0.0,0.0,110,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:55912<->52.201.168.222:55912,192.168.100.7,55912,52.201.168.222,443,TCP,0,1.0,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636492315.0791342,1636492315.0791342,0.0,0.0,0.0,1636492315.0791342,0.0,0,0,0,0,0,0,1.0,1.0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:55912,52.201.168.222,443,192.168.100.7,55912,TCP,0,0.000919296,2,1,2932,54,66,2866,1466.0,1979.8989873223327,54,54,54.0,0.0,3248137.705374548,3263.366750208856,0.0004596710205078,0.0006224246588088,0.0008997917175292,1.9550323486328125e-05,0.00089976,0.00089976,0.0,0.00089976,0.00089976,0.0,0.0,0.0,0.00089976,0.0,0,0,0,0,0,0,2175.57783347257,1087.788916736285,54,2866,995.3333333333334,1620.0559661114592,2624581.333333333,0,0,1,0,2,0,0,0,54.2962962962963,995.3333333333334,1400.0,0.0,1954.6666666666667,1.5,0.75,0,1.0,0.5,2.0,2932.0,1.0,54.0,110,0,2,52,9.19342041015625e-13,0.0,9.19342041015625e-13,0.0,0,0,0,0,None
192.168.100.7:55912<->52.201.168.222:443,192.168.100.7,55912,52.201.168.222,443,TCP,0,0.293732096,4,1,810,74,66,604,202.5,267.69323238861807,74,74,74.0,0.0,3009.545133263204,17.02231410216744,0.0734330415725708,0.1165798979543202,0.2454814910888672,7.82012939453125e-05,0.293732306,0.0979107686666666,0.1296554878358711,0.24555964,0.002629315,0.0,0.0,0.0,0.24555964,0.0,1,0,0,0,0,0,13.617851281733952,3.404462820433488,66,604,176.8,238.8455567935062,57047.2,1,2,0,1,4,0,0,0,10.945945945945946,176.8,134.5,0.0,462.8571428571428,1.75,0.7954545454545454,0,1.0,0.4545454545454545,4.0,810.0,1.0,74.0,64240,26847,4,52,2.9373216629028316e-10,0.0,2.9373216629028316e-10,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:55912,52.201.168.222,443,192.168.100.7,55912,TCP,0,2.0224e-05,1,1,3157,54,3157,3157,3157.0,0.0,54,54,54.0,0.0,158771756.3291139,98892.40506329114,2.026557922363281e-05,0.0,2.026557922363281e-05,2.026557922363281e-05,0.0,0.0,0.0,1636492315.0556128,1636492315.0556128,0.0,0.0,0.0,1636492315.0556128,0.0,1,0,0,0,0,0,49446.20253164557,49446.20253164557,54,3157,1605.5,2194.152342021857,4814304.5,0,0,1,1,1,0,0,0,58.46296296296296,1605.5,3091.0,0.0,3157.0,1.0,0.6666666666666666,0,1.0,0.6666666666666666,1.0,3157.0,1.0,54.0,110,0,1,3143,2.026557922363281e-14,0.0,2.026557922363281e-14,0.0,0,0,0,0,None
52.201.168.222:443<->192.168.100.7:443,52.201.168.222,443,192.168.100.7,55912,TCP,0,1.0,1,0,66,0,66,66,66.0,0.0,0,0,0.0,0.0,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636492315.079104,1636492315.079104,0.0,0.0,0.0,1636492315.079104,0.0,0,0,0,0,0,0,1.0,1.0,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,66.0,0.0,0.0,110,0,1,52,0.0,0.0,0.0,0.0,0,0,0,0,None
192.168.100.7:55912<->52.201.168.222:55912,192.168.100.7,55912,52.201.168.222,443,TCP,0,1.0,1,0,54,0,54,54,54.0,0.0,0,0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1636492315.0791342,1636492315.0791342,0.0,0.0,0.0,1636492315.0791342,0.0,0,0,0,0,0,0,1.0,1.0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,54.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,54.0,0.0,0.0,0,0,1,40,0.0,0.0,0.0,0.0,0,0,0,0,None
