,src_port,dst_port,duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,max_fpktl,mean_fpktl,std_fpktl,min_bpktl,max_bpktl,mean_bpktl,std_bpktl,flowBytesPerSecond,flowPktsPerSecond,mean_flowiat,std_flowiat,max_flowiat,min_flowiat,total_fiat,mean_fiat,std_fiat,max_fiat,min_fiat,total_biat,mean_biat,max_biat,min_biat,fpsh_cnt,bpsh_cnt,fPktsPerSecond,bPktsPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,var_flowpktl,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,downUpRatio,avgPacketSize,fAvgSegmentSize,bAvgSegmentSize,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bAvgPacketsPerBulk,bAvgBulkRate,fSubFlowAvgPkts,fSubFlowAvgBytes,bSubFlowAvgPkts,bSubFlowAvgBytes,fInitWinSize,bInitWinSize,fDataPkts,fHeaderSizeMin,mean_active_s,max_active_s
0,1,209,0,28,45,155,2,0,203,102,225,56,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,182,136,166,122,0,0,225,0,34,208,136,101,0,139,112,168,112,112,28,155,45,2,0,0,28,0,0,0
1,206,1,66,84,45,40,3,0,39,10,30,77,4,13,0,0,0,69,97,144,0,124,57,128,0,0,0,0,0,0,56,0,0,0,8,35,17,24,2,225,225,0,37,69,41,17,9,0,32,131,178,112,102,84,40,45,3,220,92,84,0,93,93
2,1,209,0,0,45,167,2,225,225,225,0,56,3,9,0,138,5,0,0,0,0,0,0,0,224,224,0,0,224,0,56,0,2,165,0,201,225,225,225,0,0,225,37,17,225,225,225,0,225,75,150,112,150,0,167,45,2,0,0,0,225,0,0
3,1,209,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,206,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,209,0,28,45,155,2,0,203,102,225,56,3,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,182,136,166,122,0,0,225,0,34,208,136,101,0,139,112,168,112,112,28,155,45,2,0,0,28,0,0,0
6,206,1,66,84,45,40,3,0,39,10,30,77,4,13,0,0,0,69,97,144,0,124,57,128,0,0,0,0,0,0,56,0,0,0,8,35,17,24,2,225,225,0,37,69,41,17,9,0,32,131,178,112,102,84,40,45,3,220,92,84,0,93,93
7,1,209,0,0,45,167,2,225,225,225,0,56,3,9,0,138,5,0,0,0,0,0,0,0,224,224,0,0,224,0,56,0,2,165,0,201,225,225,225,0,0,225,37,17,225,225,225,0,225,75,150,112,150,0,167,45,2,0,0,0,225,0,0
8,1,209,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,8,0,1,0,0,225,0,0,0,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,206,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,224,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
